participant_id	liming_nordic.specificity	liming_nordic.s1	liming_nordic.aca	roam_nordic.specificity	roam_nordic.s1	roam_nordic.aca	rabies_icaaroma_nordic.specificity	rabies_icaaroma_nordic.s1	rabies_icaaroma_nordic.aca	ednixgd_nordic.specificity	ednixgd_nordic.s1	ednixgd_nordic.aca	ednixgsr_nordic.specificity	ednixgsr_nordic.s1	ednixgsr_nordic.aca	zipp_nordic.specificity	zipp_nordic.s1	zipp_nordic.aca
sub-301400	spurious	0.64134	0.32153	specific	0.43341	0.0377	specific	0.17979	-0.10958	specific	0.20951	0.05685	specific	0.20185	0.05615	spurious	0.675	0.26298
sub-301401	spurious	0.19571	0.25096	spurious	0.10032	0.14043	no	0.00734	0.03157	no	0.08524	0.01529	no	0.08315	0.01625	specific	0.31026	0.06294
sub-301402	spurious	0.31296	0.32383	no	0.04857	0.0319	specific	0.14166	0.06644	no	0.08413	0.01814	no	0.09616	0.0655	spurious	0.48554	0.33869
sub-301403	non-specific	0.05162	0.18792	no	0.09946	0.04429	no	-0.01836	0.07165	no	0.03485	-0.0128	no	0.03969	-0.01904	specific	0.21236	0.02462
sub-301404	spurious	0.41672	0.21444	specific	0.25912	0.03473	no	0.03554	-0.00657	no	0.0363	-0.02987	no	0.04117	-0.03583	specific	0.49996	0.01702
sub-301405	spurious	0.46406	0.3739	specific	0.17609	-4e-05	non-specific	0.026	0.16628	no	0.08338	0.05492	no	0.07669	0.05828	spurious	0.46268	0.18158
sub-301406	specific	0.13046	0.03593	no	-0.04978	-0.0364	non-specific	0.02145	0.1016	no	0.00417	0.08326	no	0.00719	0.08824	spurious	0.26545	0.15067
sub-301407	specific	0.37511	0.09837	no	0.04341	0.00217	no	-0.00498	0.09823	no	0.02836	0.05492	no	-0.01467	0.08007	spurious	0.46249	0.14805
sub-301408	spurious	0.11925	0.24015	no	0.05048	0.0431	no	0.06121	-0.0563	no	0.04726	0.01592	no	0.03023	0.00808	spurious	0.35734	0.26814
sub-301409	spurious	0.38123	0.14818	spurious	0.33331	0.19544	specific	0.10979	-0.07052	no	0.03626	0.01159	no	0.00678	0.0452	spurious	0.52422	0.18291
sub-301500	specific	0.1263	0.08552	no	-0.02443	0.04082	no	-0.07529	0.0084	no	-0.02721	0.04662	no	-0.02325	0.04485	specific	0.133	0.08144
sub-301501	specific	0.13691	0.05762	specific	0.18825	-0.03647	no	0.05842	-0.05011	specific	0.10831	-0.09233	specific	0.11848	-0.10371	specific	0.19231	-0.07475
sub-301502	spurious	0.1537	0.15917	specific	0.10802	0.02351	no	0.03903	0.07137	no	0.09608	0.05098	no	0.08755	0.0529	specific	0.18224	-0.07254
sub-301503	spurious	0.288	0.11734	specific	0.22785	-0.05133	specific	0.16614	-0.0699	specific	0.12517	-0.01314	specific	0.10884	-0.0055	specific	0.21872	-0.07954
